timestamp,value
42225,288.89
42226,595.41
42227,9069.83
42228,4602.87
42229,2812.78
42230,3191.88
42231,3187.75
42232,652.28
42233,213.79
42234,1585.59
42235,7203.76
42236,4645.37
42237,2053.55
42238,1051.01
42239,4734.75
42240,198.08
42241,274.27
42242,2012.07
42243,341.93
42244,1532.5
42245,391.12
42246,568.44
42247,3947.14
42248,3855.8
42249,6948.51
42250,-25.48
42251,326.05
42252,373.16
42253,592.63
42254,187.35
42255,1179.51
42256,1465.16
42257,5395.39
42258,1161.61
42259,229.07
42260,396.4
42261,2621.92
42262,1048.24
42263,1179.3
42264,4906.11
42265,2515.41
42266,290.88
42267,604.35
42268,1528.09
42269,1278.32
42270,870.51
42271,1237.31
42272,1081.88
42273,1461.5
42274,600.88
42275,9654.43
42276,636.1
42277,751.66
42278,1718.45
42279,991.03
42280,335.25
42281,393.91
42282,299.78
42283,255.45
42284,429.44
42285,865.24
42286,998.74
42287,45785.26
42288,476.42
42289,491.21
42290,2929.66
42291,20933.29
42292,1450.05
42293,386.28
42294,676.49
42295,322.35
42296,597.87
42297,852.81
42298,577.08
42299,9006.66
42300,1008.55
42301,6048.46
42302,473.6
42303,2791.42
42304,224.25
42305,4367.58
42306,1353.46
42307,5938.61
42308,549.67
42309,18860.74
42310,4587.78
42311,2968.52
42312,15553.13
42313,3026.34
42314,15291.91
42315,2810.6
42316,14989.78
42317,470.03
42318,1973.47
42319,14830.08
42320,2675.61
42321,5354.94
42322,487.49
42323,5844.5
42324,6259.2
42325,798.74
42326,23856.26
42327,7895.99
42328,656.23
42329,6195.16
42330,2272.26
42331,187.21
42332,6336.7
42333,1304.28
42334,8736.59
42336,1153.43
42337,1174.52
42338,9918.24
42339,285.43
42340,7609.4
42341,11661.04
42342,587.63
42343,954.4
42344,17708.38
42345,808.89
42346,196.01
42347,2162.79
42348,7854.46
42349,1813.78
42350,2084.75
42351,27506.26
42352,10838.84
42353,13279.63
42354,747
42355,4676.87
42356,962.65
42357,397.14
42358,1977.08
42359,183.92
42360,252.54
42361,679.27
42362,354.63
42363,257.07
42364,316.11
42365,253.78
42366,334.43
42367,278.72
42368,1167.51
42369,1054.92
42370,465.56
42371,1855.14
42372,80.85
42373,276.72
42374,186.62
42375,1134
42376,155.63
42377,1061.61
42378,1639.62
42379,4629.74
42380,1739.7
42381,164.01
42382,1161.83
42383,1061.4
42384,1679.08
42385,3109.57
42386,5069.89
42387,262.74
